pnptv-postgres  | 
pnptv-bot       | 2025-11-17 00:02:12 [[31merror[39m]: Error getting upcoming calls: 9 FAILED_PRECONDITION: The query requires an index. You can create it here: https://console.firebase.google.com/v1/r/project/pnptv-b8af8/firestore/indexes?create_composite=ClBwcm9qZWN0cy9wbnB0di1iOGFmOC9kYXRhYmFzZXMvKGRlZmF1bHQpL2NvbGxlY3Rpb25Hcm91cHMvcHJpdmF0ZUNhbGxzL2luZGV4ZXMvXxABGgoKBnN0YXR1cxABGhEKDXNjaGVkdWxlZERhdGUQARoMCghfX25hbWVfXxAB {"code":9,"details":"The query requires an index. You can create it here: https://console.firebase.google.com/v1/r/project/pnptv-b8af8/firestore/indexes?create_composite=ClBwcm9qZWN0cy9wbnB0di1iOGFmOC9kYXRhYmFzZXMvKGRlZmF1bHQpL2NvbGxlY3Rpb25Hcm91cHMvcHJpdmF0ZUNhbGxzL2luZGV4ZXMvXxABGgoKBnN0YXR1cxABGhEKDXNjaGVkdWxlZERhdGUQARoMCghfX25hbWVfXxAB","metadata":{"x-debug-tracking-id":["2563240995716823717;o=1"]},"stack":"Error: 9 FAILED_PRECONDITION: The query requires an index. You can create it here: https://console.firebase.google.com/v1/r/project/pnptv-b8af8/firestore/indexes?create_composite=ClBwcm9qZWN0cy9wbnB0di1iOGFmOC9kYXRhYmFzZXMvKGRlZmF1bHQpL2NvbGxlY3Rpb25Hcm91cHMvcHJpdmF0ZUNhbGxzL2luZGV4ZXMvXxABGgoKBnN0YXR1cxABGhEKDXNjaGVkdWxlZERhdGUQARoMCghfX25hbWVfXxAB\n    at callErrorFromStatus (/app/node_modules/@grpc/grpc-js/build/src/call.js:32:19)\n    at Object.onReceiveStatus (/app/node_modules/@grpc/grpc-js/build/src/client.js:359:73)\n    at Object.onReceiveStatus (/app/node_modules/@grpc/grpc-js/build/src/client-interceptors.js:327:181)\n    at /app/node_modules/@grpc/grpc-js/build/src/resolving-call.js:135:78\n    at process.processTicksAndRejections (node:internal/process/task_queues:77:11)\nfor call at\n    at ServiceClientImpl.makeServerStreamRequest (/app/node_modules/@grpc/grpc-js/build/src/client.js:342:32)\n    at ServiceClientImpl.<anonymous> (/app/node_modules/@grpc/grpc-js/build/src/make-client.js:105:19)\n    at /app/node_modules/@google-cloud/firestore/build/src/v1/firestore_client.js:242:33\n    at /app/node_modules/google-gax/build/src/streamingCalls/streamingApiCaller.js:38:28\n    at /app/node_modules/google-gax/build/src/normalCalls/timeout.js:44:16\n    at Object.request (/app/node_modules/google-gax/build/src/streamingCalls/streaming.js:234:40)\n    at makeRequest (/app/node_modules/retry-request/index.js:159:28)\n    at retryRequest (/app/node_modules/retry-request/index.js:119:5)\n    at StreamProxy.setStream (/app/node_modules/google-gax/build/src/streamingCalls/streaming.js:225:37)\n    at StreamingApiCaller.call (/app/node_modules/google-gax/build/src/streamingCalls/streamingApiCaller.js:54:16)\nCaused by: Error\n    at QueryUtil._getResponse (/app/node_modules/@google-cloud/firestore/build/src/reference/query-util.js:44:23)\n    at Query._getResponse (/app/node_modules/@google-cloud/firestore/build/src/reference/query.js:784:32)\n    at Query._get (/app/node_modules/@google-cloud/firestore/build/src/reference/query.js:777:35)\n    at /app/node_modules/@google-cloud/firestore/build/src/reference/query.js:745:43\n    at /app/node_modules/@google-cloud/firestore/build/src/telemetry/enabled-trace-util.js:110:30\n    at NoopContextManager.with (/app/node_modules/@opentelemetry/api/build/src/context/NoopContextManager.js:25:19)\n    at ContextAPI.with (/app/node_modules/@opentelemetry/api/build/src/api/context.js:60:46)\n    at NoopTracer.startActiveSpan (/app/node_modules/@opentelemetry/api/build/src/trace/NoopTracer.js:65:31)\n    at ProxyTracer.startActiveSpan (/app/node_modules/@opentelemetry/api/build/src/trace/ProxyTracer.js:36:24)\n    at EnabledTraceUtil.startActiveSpan (/app/node_modules/@google-cloud/firestore/build/src/telemetry/enabled-trace-util.js:102:28)"}
pnptv-bot       | 2025-11-17 00:02:13 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:19 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:26 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:32 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:32 [[31merror[39m]: Redis health check failed: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:02:32 [[32minfo[39m]: ::1 - - [17/Nov/2025:00:02:32 +0000] "GET /health HTTP/1.1" 503 133 "-" "-"
pnptv-bot       | 2025-11-17 00:02:38 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:45 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:51 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:58 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:05 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:11 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:12 [[32minfo[39m]: ::1 - - [17/Nov/2025:00:03:12 +0000] "GET /health HTTP/1.1" - - "-" "-"
pnptv-bot       | 2025-11-17 00:03:18 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:25 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:25 [[31merror[39m]: Redis health check failed: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:03:32 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:38 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:45 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:52 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:03:52 [[31merror[39m]: Redis health check failed: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:03:52 [[32minfo[39m]: ::1 - - [17/Nov/2025:00:03:52 +0000] "GET /health HTTP/1.1" - - "-" "-"
pnptv-bot       | 2025-11-17 00:03:59 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:04:06 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:04:06 [[31merror[39m]: Express error handler: {"error":"EACCES: permission denied, open '/app/public/lifetime-pass.html'","stack":"Error: EACCES: permission denied, open '/app/public/lifetime-pass.html'","url":"/","method":"GET","body":{},"params":{},"query":{},"ip":"::ffff:172.18.0.1"}
pnptv-bot       | 2025-11-17 00:04:06 [[32minfo[39m]: ::ffff:172.18.0.1 - - [17/Nov/2025:00:04:06 +0000] "GET / HTTP/1.1" 500 52 "-" "curl/8.12.1"
pnptv-bot       | 2025-11-17 00:04:06 [[31merror[39m]: Sentry capturing exception: EACCES: permission denied, open '/app/public/lifetime-pass.html' {"errno":-13,"code":"EACCES","syscall":"open","path":"/app/public/lifetime-pass.html","expose":false,"statusCode":500,"status":500,"stack":"Error: EACCES: permission denied, open '/app/public/lifetime-pass.html'"}
pnptv-bot       | 2025-11-17 00:04:06 [[31merror[39m]: Express error handler: {"error":"EACCES: permission denied, open '/app/public/lifetime-pass.html'","stack":"Error: EACCES: permission denied, open '/app/public/lifetime-pass.html'","url":"/","method":"GET","body":{},"params":{},"query":{},"ip":"::ffff:172.18.0.1"}
pnptv-bot       | 2025-11-17 00:04:06 [[32minfo[39m]: ::ffff:172.18.0.1 - - [17/Nov/2025:00:04:06 +0000] "GET / HTTP/1.1" 500 52 "-" "curl/8.12.1"
pnptv-bot       | 2025-11-17 00:04:06 [[31merror[39m]: Sentry capturing exception: EACCES: permission denied, open '/app/public/lifetime-pass.html' {"errno":-13,"code":"EACCES","syscall":"open","path":"/app/public/lifetime-pass.html","expose":false,"statusCode":500,"status":500,"stack":"Error: EACCES: permission denied, open '/app/public/lifetime-pass.html'"}
pnptv-bot       | 2025-11-17 00:04:13 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
